filename,orgname,label
edm.00100.wav,ES_A Cloud Beneath - Lama House.wav,edm
edm.00101.wav,ES_A Lick and a Promise - Splasher!.wav,edm
edm.00102.wav,ES_Ad Infinitum - Oh the City.wav,edm
edm.00103.wav,ES_Ain't No Thing But To Swing - Jules Gaia.wav,edm
edm.00104.wav,ES_Albatross - Lexica.wav,edm
edm.00105.wav,ES_All Wound Up - Tigerblood Jewel.wav,edm
edm.00106.wav,ES_Alphagun - Splasher!.wav,edm
edm.00107.wav,ES_An Animated Life - Imprismed.wav,edm
edm.00108.wav,ES_Ancient Artificial Intelligence - Oh the City.wav,edm
edm.00109.wav,ES_And So On - spring gang.wav,edm
edm.00110.wav,ES_Anticipation - Future Joust.wav,edm
edm.00111.wav,ES_Aurora Borealis - Chill Cole.wav,edm
edm.00112.wav,ES_Backseat Rider - Lupus Nocte.wav,edm
edm.00113.wav,ES_Barely Floating - Ooyy.wav,edm
edm.00114.wav,ES_Beat And Vibe - Mar Vei.wav,edm
edm.00115.wav,ES_Big Spoon (Instrumental Version) - Roof.wav,edm
edm.00116.wav,ES_Bitcrush Tornado - Lofive.wav,edm
edm.00117.wav,ES_Bitmaster - Lupus Nocte.wav,edm
edm.00118.wav,ES_Black Sunrise - ELFL.wav,edm
edm.00119.wav,ES_Blade Running - Cushy.wav,edm
edm.00120.wav,ES_Blood Drums - Skrya.wav,edm
edm.00121.wav,ES_Bop It - Jules Gaia.wav,edm
edm.00122.wav,ES_Bozz - William Benckert.wav,edm
edm.00123.wav,ES_Brand New Beginning - Oman.wav,edm
edm.00124.wav,ES_Breaktime - Future Joust.wav,edm
edm.00125.wav,ES_Bring Out the Love - Imprismed.wav,edm
edm.00126.wav,ES_By The Ocean - Chill Cole.wav,edm
edm.00127.wav,ES_Call Waiting - Future Joust.wav,edm
edm.00128.wav,ES_Caribbean Arcade - Christian Nanzell.wav,edm
edm.00129.wav,ES_Carnaval Para a Bala (Instrumental Version) - Adua Blaize.wav,edm
edm.00130.wav,ES_Chant for Quisqueya - Ambre Jaune.wav,edm
edm.00131.wav,ES_Chaos Theory - Ava Low.wav,edm
edm.00132.wav,ES_Claustrophobia - Lennon Hutton.wav,edm
edm.00133.wav,ES_Club Adventure - FormantX.wav,edm
edm.00134.wav,"ES_Come Closer, Don't Speak - Tigerblood Jewel.wav",edm
edm.00135.wav,ES_Cool Tuxedo - Ava Low.wav,edm
edm.00136.wav,ES_Courageous Endeavor - Airae.wav,edm
edm.00137.wav,ES_Crossing That Bridge - Brendon Moeller.wav,edm
edm.00138.wav,ES_Crown - AGST.wav,edm
edm.00139.wav,ES_Dance of the Pixel Birds - William Benckert.wav,edm
edm.00140.wav,ES_Dance to My Tune - Marc Torch.wav,edm
edm.00141.wav,ES_Dark Console - Autohacker.wav,edm
edm.00142.wav,ES_Dark Sun - spring gang.wav,edm
edm.00143.wav,ES_Dark Utopia - FormantX.wav,edm
